S. No.,compname,isin,fincode,sub_sector,sector,Week,Symbols
1,Aegis Logistics Ltd.,INE208C01025,100003,Logistics,Logistics,1,
2,Amara Raja Batteries Ltd.,INE885A01032,100008,Batteries,Automobile & Ancillaries,1,
3,Bajaj Electricals Ltd.,INE193E01025,100031,Consumer Durables - Domestic Appliances,Consumer Durables,1,
4,Ambalal Sarabhai Enterprises Ltd.,INE432A01017,100009,Pharmaceuticals & Drugs,Healthcare,1,
5,Bhansali Engineering Polymers Ltd.,INE922A01025,100052,Chemicals,Chemicals,1,
6,Andhra Petrochemicals Ltd.,INE714B01016,100012,Chemicals,Chemicals,1,
7,Utique Enterprises Ltd.,INE096A01010,100014,Finance - Investment,Finance,1,
8,Aruna Hotels Ltd.,INE957C01019,100016,"Hotel, Resort & Restaurants",Hospitality,1,
9,BASF India Ltd.,INE373A01013,100042,Pesticides & Agrochemicals,Chemicals,1,
10,Bannari Amman Sugars Ltd.,INE459A01010,100041,Sugar,Agri,1,
11,Balrampur Chini Mills Ltd.,INE119A01028,100038,Sugar,Agri,1,
12,Force Motors Ltd.,INE451A01017,100033,Automobiles-Trucks/Lcv,Automobile & Ancillaries,1,
13,ATV Projects India Ltd.,INE447A01015,100028,Engineering - Industrial Equipments,Capital Goods,1,
14,Housing Development Finance Corporation Ltd.,INE001A01036,100010,Finance - Housing,Finance,1,
15,Banco Products (India) Ltd.,INE213C01025,100039,Auto Ancillary,Automobile & Ancillaries,1,
16,Bata India Ltd.,INE176A01028,100043,Retailing,Retailing,1,
17,Bajaj Hindusthan Sugar Ltd.,INE306A01021,100032,Sugar,Agri,1,
18,Bajaj Finance Ltd.,INE296A01024,100034,Finance - NBFC,Finance,1,
19,Bharat Electronics Ltd.,INE263A01024,100049,Engineering - Industrial Equipments,Capital Goods,1,
20,Century Textiles & Industries Ltd.,INE055A01016,100040,Diversified,Diversified,1,
21,Bihar Sponge Iron Ltd.,INE819C01011,100058,Steel/Sponge Iron/Pig Iron,Iron & Steel,1,
22,Chambal Fertilisers and Chemicals Ltd.,INE085A01013,100085,Fertilizers,Chemicals,1,
23,Exide Industries Ltd.,INE302A01020,100086,Batteries,Automobile & Ancillaries,1,
24,Dalmia Bharat Sugar And Industries Ltd.,INE495A01022,100097,Sugar,Agri,1,
25,BPL Ltd.,INE110A01019,100074,Electronics - Components,Electricals,1,
26,Steel Authority Of India Ltd.,INE114A01011,100113,Steel & Iron Products,Iron & Steel,1,
27,CG Power and Industrial Solutions Ltd.,INE067A01029,100093,Electric Equipment,Capital Goods,1,
28,Titan Company Ltd.,INE280A01028,100114,Diamond  &  Jewellery,Diamond  &  Jewellery,1,
29,Dabur India Ltd.,INE016A01026,100096,Household & Personal Products,FMCG,1,
30,Mangalore Refinery And Petrochemicals Ltd.,INE103A01014,100109,Refineries,Crude Oil,1,
31,DIC India Ltd.,INE303A01010,100089,Chemicals,Chemicals,1,
32,CRISIL Ltd.,INE007A01025,100092,Ratings,Ratings,1,
33,Quest Capital Markets Ltd.,INE418C01012,100069,Finance - NBFC,Finance,1,
34,Century Extrusions Ltd.,INE281A01026,100083,Aluminium & Aluminium Products,Non - Ferrous Metals,1,
35,CESC Ltd.,INE486A01021,100084,Power Generation/Distribution,Power,1,
36,Cipla Ltd.,INE059A01026,100087,Pharmaceuticals & Drugs,Healthcare,1,
37,Ballarpur Industries Ltd.,INE294A01037,100102,Paper & Paper Products,Paper,1,
38,Bharat Heavy Electricals Ltd.,INE257A01026,100103,Engineering - Industrial Equipments,Capital Goods,1,
39,Blue Star Ltd.,INE472A01039,100067,Air Conditioners,Consumer Durables,1,
40,IFCI Ltd.,INE039A01010,100106,Finance Term Lending,Finance,1,
41,Mahanagar Telephone Nigam Ltd.,INE153A01019,100108,Telecommunication - Service  Provider,Telecom,1,
42,Disa India Ltd.,INE131C01011,100068,Engineering - Industrial Equipments,Capital Goods,1,
43,Arvind Ltd.,INE034A01011,100101,Textile,Textile,1,
44,Reliance Capital Ltd.,INE013A01015,100111,Finance - NBFC,Finance,1,
45,State Bank Of India,INE062A01020,100112,Bank - Public,Bank,1,
46,Chennai Petroleum Corporation Ltd.,INE178A01016,100110,Refineries,Crude Oil,1,
47,Goodyear India Ltd.,INE533A01012,100168,Tyres & Allied,Automobile & Ancillaries,1,
48,GHCL Ltd.,INE539A01019,100171,Chemicals,Chemicals,1,
49,Diamines & Chemicals Ltd.,INE591D01014,100120,Chemicals,Chemicals,1,
50,Godfrey Phillips India Ltd.,INE260B01028,100163,Cigarettes/Tobacco,FMCG,1,
51,Godrej Industries Ltd.,INE233A01035,100164,Chemicals,Chemicals,1,
52,Procter & Gamble Health Ltd.,INE199A01012,100126,Pharmaceuticals & Drugs,Healthcare,1,
53,Electrosteel Castings Ltd.,INE086A01029,100128,Castings/Forgings,Automobile & Ancillaries,1,
54,Dr. Reddy's Laboratories Ltd.,INE089A01023,100124,Pharmaceuticals & Drugs,Healthcare,1,
55,EPL Ltd.,INE255A01020,100135,Plastic Products,Plastic Products,1,
56,Ester Industries Ltd.,INE778B01029,100136,Plastic Products,Plastic Products,1,
57,E.I.D. - Parry (India) Ltd.,INE126A01031,100125,Sugar,Agri,1,
58,FGP Ltd.,INE512A01016,100142,Miscellaneous,Miscellaneous,1,
59,PH Capital Ltd.,INE160F01013,100143,Finance - Investment,Finance,1,
60,John Cockrill India Ltd.,INE515A01019,100147,Engineering - Industrial Equipments,Capital Goods,1,
61,Uflex Ltd.,INE516A01017,100148,Packaging,FMCG,1,
62,Foseco India Ltd.,INE519A01011,100150,Chemicals,Chemicals,1,
63,Ganesh Benzoplast Ltd.,INE388A01029,100153,Chemicals,Chemicals,1,
64,GTL Ltd.,INE043A01012,100160,Telecommunication - Service  Provider,Telecom,1,
65,Metroglobal Ltd.,INE085D01033,100159,Trading,Trading,1,
66,GFL Ltd.,INE538A01037,100173,Chemicals,Chemicals,1,
67,Golden Tobacco Ltd.,INE973A01010,100151,Cigarettes/Tobacco,FMCG,1,
68,Goodricke Group Ltd.,INE300A01016,100166,Tea/Coffee,Agri,1,
69,Esab India Ltd.,INE284A01012,100133,Electrodes & Welding Equipment,Capital Goods,1,
70,GTN Industries Ltd.,INE537A01013,100170,Textile - Spinning,Textile,1,
71,Finolex Cables Ltd.,INE235A01022,100144,Cable,Electricals,1,
72,Sun Retail Ltd.,INE206Z01020,288975,Trading,Trading,1,
73,HFCL Ltd.,INE548A01028,100183,Telecommunication - Equipment,Telecom,1,
74,Consolidated Finvest & Holdings Ltd.,INE025A01027,100226,Finance - NBFC,Finance,1,
75,Jindal Poly Films Ltd.,INE197D01010,100227,Plastic Products,Plastic Products,1,
76,JSW Steel Ltd.,INE019A01038,100228,Steel & Iron Products,Iron & Steel,1,
77,Umang Dairies Ltd.,INE864B01027,100231,Consumer Food,FMCG,1,
78,Mindpool Technologies Ltd.,INE00RQ01019,289754,IT - Software,IT,1,
79,LIC Housing Finance Ltd.,INE115A01026,100253,Finance - Housing,Finance,1,
80,Lyka Labs Ltd.,INE933A01014,100259,Pharmaceuticals & Drugs,Healthcare,1,
81,Kirloskar Ferrous Industries Ltd.,INE884B01025,100245,Castings/Forgings,Automobile & Ancillaries,1,
82,Lupin Ltd.,INE326A01037,100257,Pharmaceuticals & Drugs,Healthcare,1,
83,KG Denim Ltd.,INE104A01012,100239,Textile - Weaving,Textile,1,
84,Kanel Industries Ltd.,INE252C01015,100236,Agriculture,Agri,1,
85,Kirloskar Brothers Ltd.,INE732A01036,100241,Engineering - Industrial Equipments,Capital Goods,1,
86,Maharashtra Scooters Ltd.,INE288A01013,100266,Auto Ancillary,Automobile & Ancillaries,1,
87,Envair Electrodyne Ltd.,INE601C01013,100246,Engineering - Industrial Equipments,Capital Goods,1,
88,The Ramco Cements Ltd.,INE331A01037,100260,Cement & Construction Materials,Construction Materials,1,
89,Trent Ltd.,INE849A01020,100251,Retailing,Retailing,1,
90,LG Balakrishnan & Bros Ltd.,INE337A01034,100250,Auto Ancillary,Automobile & Ancillaries,1,
91,Majestic Auto Ltd.,INE201B01022,100267,Electric Equipment,Capital Goods,1,
92,Krishna Filament Industries Ltd.,INE073A01019,100248,Plastic Products,Plastic Products,1,
93,Kirloskar Industries Ltd.,INE250A01039,100243,Engineering - Industrial Equipments,Capital Goods,1,
94,Mirc Electronics Ltd.,INE831A01028,100279,Consumer Durables - Electronics,Consumer Durables,1,
95,Whirlpool Of India Ltd.,INE716A01013,100238,Consumer Durables - Domestic Appliances,Consumer Durables,1,
96,Lakshmi Machine Works Ltd.,INE269B01029,100252,Textile - Machinery,Textile,1,
97,Kinetic Engineering Ltd.,INE266B01017,100240,Auto Ancillary,Automobile & Ancillaries,1,
98,Mafatlal Industries Ltd.,INE270B01027,100264,Textile,Textile,1,
99,Kalyani Steels Ltd.,INE907A01026,100235,Steel & Iron Products,Iron & Steel,1,
100,Max Financial Services Ltd.,INE180A01020,100271,Finance - Others,Finance,1,
101,Mid India Industries Ltd.,INE401C01018,100277,Textile - Spinning,Textile,1,
102,Kotak Mahindra Bank Ltd.,INE237A01028,100247,Bank - Private,Bank,1,
103,Oswal Agro Mills Ltd.,INE142A01012,100317,Trading,Trading,1,
104,Vedanta Ltd.,INE205A01025,100295,Metal - Non Ferrous,Non - Ferrous Metals,1,
105,SpiceJet Ltd.,INE285B01017,100285,Airlines,Aviation,1,
106,NCC Ltd.,INE868B01028,100294,Engineering - Construction,Infrastructure,1,
107,Oriental Hotels Ltd.,INE750A01020,100314,"Hotel, Resort & Restaurants",Hospitality,1,
108,NIIT Ltd.,INE161A01038,100304,IT - Education,IT,1,
109,Oil Country Tubular Ltd.,INE591A01010,100313,Steel & Iron Products,Iron & Steel,1,
110,Grasim Industries Ltd.,INE047A01021,100300,Diversified,Diversified,1,
111,MRF Ltd.,INE883A01011,100290,Tyres & Allied,Automobile & Ancillaries,1,
112,Nirlon Ltd.,INE910A01012,100307,Engineering - Construction,Infrastructure,1,
113,Jaykay Enterprises Ltd.,INE903A01025,100306,Miscellaneous,Miscellaneous,1,
114,Heidelberg Cement India Ltd.,INE578A01017,100292,Cement & Construction Materials,Construction Materials,1,
115,Lords Chloro Alkali Ltd.,INE846D01012,100284,Chemicals,Chemicals,1,
116,Oil & Natural Gas Corporation Ltd.,INE213A01029,100312,Oil Exploration,Crude Oil,1,
117,Nahar Spinning Mills Ltd.,INE290A01027,100296,Textile - Spinning,Textile,1,
118,Piramal Enterprises Ltd.,INE140A01024,100302,Pharmaceuticals & Drugs,Healthcare,1,
119,Indian Sucrose Ltd.,INE557C01017,100319,Sugar,Agri,1,
120,Shree Krishna Paper Mills & Industries Ltd.,INE970C01012,100388,Paper & Paper Products,Paper,1,
121,Surya Roshni Ltd.,INE335A01012,100336,Diversified,Diversified,1,
122,Prime Securities Ltd.,INE032B01021,100337,Finance - Stock Broking,Finance,1,
123,Pidilite Industries Ltd.,INE318A01026,100331,Chemicals,Chemicals,1,
124,Rain Industries Ltd.,INE855B01025,100339,Petrochemicals,Crude Oil,1,
125,RSWM Ltd.,INE611A01016,100350,Textile,Textile,1,
126,Rallis India Ltd.,INE613A01020,100355,Pesticides & Agrochemicals,Chemicals,1,
127,Rapicut Carbides Ltd.,INE350D01015,100360,Engineering - Industrial Equipments,Capital Goods,1,
128,Rajshree Sugars & Chemicals Ltd.,INE562B01019,100354,Sugar,Agri,1,
129,Prism Johnson Ltd.,INE010A01011,100338,Cement & Construction Materials,Construction Materials,1,
130,Shree Rama Newsprint Ltd.,INE278B01020,100356,Paper & Paper Products,Paper,1,
131,Rama Paper Mills Ltd.,INE425E01013,100357,Paper & Paper Products,Paper,1,
132,Rolta India Ltd.,INE293A01013,100366,IT - Software,IT,1,
133,Welspun Specialty Solutions Ltd.,INE731F01037,100365,Steel & Iron Products,Iron & Steel,1,
134,Rubfila International Ltd.,INE642C01025,100367,Rubber  Products,Agri,1,
135,Shree Cement Ltd.,INE070A01015,100387,Cement & Construction Materials,Construction Materials,1,
136,Salora International Ltd.,INE924A01013,100370,Trading,Trading,1,
137,AMJ Land Holdings Ltd.,INE606A01024,100343,Construction - Real Estate,Realty,1,
138,JK Lakshmi Cement Ltd.,INE786A01032,100380,Cement & Construction Materials,Construction Materials,1,
139,Thirumalai Chemicals Ltd.,INE338A01024,100412,Chemicals,Chemicals,1,
140,Uniphos Enterprises Ltd.,INE037A01022,100429,Trading,Trading,1,
141,Thermax Ltd.,INE152A01029,100411,Engineering - Industrial Equipments,Capital Goods,1,
142,Sunflag Iron And Steel Company Ltd.,INE947A01014,100404,Steel & Iron Products,Iron & Steel,1,
143,MPIL Corporation Ltd.,INE844C01027,100450,Miscellaneous,Miscellaneous,1,
144,SPML Infra Ltd.,INE937A01023,100402,Engineering - Construction,Infrastructure,1,
145,Swaraj Engines Ltd.,INE277A01016,100407,Diesel Engines,Automobile & Ancillaries,1,
146,Torrent Pharmaceuticals Ltd.,INE685A01028,100420,Pharmaceuticals & Drugs,Healthcare,1,
147,Supreme Petrochem Ltd.,INE663A01025,100405,Chemicals,Chemicals,1,
148,West Coast Paper Mills Ltd.,INE976A01021,100444,Paper & Paper Products,Paper,1,
149,Thomas Cook (India) Ltd.,INE332A01027,100413,Travel Services,Hospitality,1,
150,Tata Power Company Ltd.,INE245A01021,100400,Power Generation/Distribution,Power,1,
151,Tokyo Plast International Ltd.,INE932C01012,100418,Plastic Products,Plastic Products,1,
152,Transchem Ltd.,INE019B01010,100422,Agriculture,Agri,1,
153,Ambuja Cements Ltd.,INE079A01024,100425,Cement & Construction Materials,Construction Materials,1,
154,Hindalco Industries Ltd.,INE038A01020,100440,Metal - Non Ferrous,Non - Ferrous Metals,1,
155,Vardhman Holdings Ltd.,INE701A01023,100439,Finance - NBFC,Finance,1,
156,Hindustan Organic Chemicals Ltd.,INE048A01011,100449,Chemicals,Chemicals,1,
157,Pasupati Acrylon Ltd.,INE818B01023,100456,Textile - Manmade  Fibres,Textile,1,
158,Larsen & Toubro Ltd.,INE018A01030,100510,Engineering - Construction,Infrastructure,1,
159,Kore Foods Ltd.,INE601A01017,100458,Consumer Food,FMCG,1,
160,Premier Ltd.,INE342A01018,100540,Engineering - Industrial Equipments,Capital Goods,1,
161,Cummins India Ltd.,INE298A01020,100480,Diesel Engines,Automobile & Ancillaries,1,
162,Deepak Fertilisers And Petrochemicals Corporation Ltd.,INE501A01019,100645,Fertilizers,Chemicals,1,
163,Harrisons Malayalam Ltd.,INE544A01019,100467,Agriculture,Agri,1,
164,SKF India Ltd.,INE640A01023,100472,Bearings,Automobile & Ancillaries,1,
165,Black Box Ltd.,INE676A01027,100463,Telecommunication - Equipment,Telecom,1,
166,Abbott India Ltd.,INE358A01014,100488,Pharmaceuticals & Drugs,Healthcare,1,
167,Mukand Ltd.,INE304A01026,100460,Steel & Iron Products,Iron & Steel,1,
168,Tata Steel Ltd.,INE081A01020,100470,Steel & Iron Products,Iron & Steel,1,
169,Tata Communications Ltd.,INE151A01013,100483,Telecommunication - Service  Provider,Telecom,1,
170,The Federal Bank Ltd.,INE171A01029,100469,Bank - Private,Bank,1,
171,Tata Motors Ltd.,INE155A01022,100570,Automobiles-Trucks/Lcv,Automobile & Ancillaries,1,
172,Garware Hi-Tech Films Ltd.,INE291A01017,100655,Plastic Products,Plastic Products,1,
173,Bharat Forge Ltd.,INE465A01025,100493,Forgings,Automobile & Ancillaries,1,
174,Bosch Ltd.,INE323A01026,100530,Auto Ancillary,Automobile & Ancillaries,1,
175,Bajaj Holdings & Investment Ltd.,INE118A01012,100490,Finance - NBFC,Finance,1,
176,Escorts Kubota Ltd.,INE042A01014,100495,Automobiles-Tractors,Automobile & Ancillaries,1,
177,Sanofi India Ltd.,INE058A01010,100674,Pharmaceuticals & Drugs,Healthcare,1,
178,The Great Eastern Shipping Company Ltd.,INE017A01032,100620,Shipping,Logistics,1,
179,Bharat Petroleum Corporation Ltd.,INE029A01011,100547,Refineries,Crude Oil,1,
180,Siemens Ltd.,INE003A01024,100550,Electric Equipment,Capital Goods,1,
181,Ucal Fuel Systems Ltd.,INE139B01016,100464,Auto Ancillary,Automobile & Ancillaries,1,
182,Pfizer Ltd.,INE182A01018,100680,Pharmaceuticals & Drugs,Healthcare,1,
183,Excel Industries Ltd.,INE369A01029,100650,Pesticides & Agrochemicals,Chemicals,1,
184,Hindustan Motors Ltd.,INE253A01025,100500,Automobiles - Passenger Cars,Automobile & Ancillaries,1,
185,Nocil Ltd.,INE163A01018,100730,Chemicals,Chemicals,1,
186,Akzo Nobel India Ltd.,INE133A01011,100710,Paints,Chemicals,1,
187,The Indian Hotels Company Ltd.,INE053A01029,100850,"Hotel, Resort & Restaurants",Hospitality,1,
188,Industrial & Prudential Investment Company Ltd.,INE620D01011,101298,Finance - NBFC,Finance,1,
189,Nestle India Ltd.,INE239A01016,100790,Consumer Food,FMCG,1,
190,Finolex Industries Ltd.,INE183A01024,100940,Plastic Products,Plastic Products,1,
191,Castrol India Ltd.,INE172A01027,100870,Lubricants,Automobile & Ancillaries,1,
192,Tata Consumer Products Ltd.,INE192A01025,100800,Tea/Coffee,Agri,1,
193,Tamilnadu Petroproducts Ltd.,INE148A01019,100777,Petrochemicals,Crude Oil,1,
194,Apollo Tyres Ltd.,INE438A01022,100877,Tyres & Allied,Automobile & Ancillaries,1,
195,ITC Ltd.,INE154A01025,100875,Cigarettes/Tobacco,FMCG,1,
196,Tata Chemicals Ltd.,INE092A01019,100770,Chemicals,Chemicals,1,
197,Ceat Ltd.,INE482A01020,100878,Tyres & Allied,Automobile & Ancillaries,1,
198,Modi Rubber Ltd.,INE832A01018,100890,Miscellaneous,Miscellaneous,1,
199,Britannia Industries Ltd.,INE216A01030,100825,Consumer Food,FMCG,1,
200,EIH Ltd.,INE230A01023,100840,"Hotel, Resort & Restaurants",Hospitality,1,
201,Colgate-Palmolive (India) Ltd.,INE259A01022,100830,Household & Personal Products,FMCG,2,
202,Dalal Street Investments Ltd.,INE422D01012,101148,Finance - Investment,Finance,2,
203,Asian Paints Ltd.,INE021A01026,100820,Paints,Chemicals,2,
204,Centrum Capital Ltd.,INE660C01027,101150,Finance - Investment,Finance,2,
205,Sunrise Industrial Traders Ltd.,INE371U01015,101110,Finance - NBFC,Finance,2,
206,Industrial Investment Trust Ltd.,INE886A01014,101295,Finance - NBFC,Finance,2,
207,Jayabharat Credit Ltd.,INE998D01011,101311,Finance - NBFC,Finance,2,
208,Indianivesh Ltd.,INE131H01028,101700,Finance - NBFC,Finance,2,
209,Rapid Investments Ltd.,INE154M01012,101351,Finance - NBFC,Finance,2,
210,Prismx Global Ventures Ltd.,INE286N01028,101314,Finance - Investment,Finance,2,
211,Walchand Peoplefirst Ltd.,INE695D01021,101370,Finance - Investment,Finance,2,
212,WH Brady & Company Ltd.,INE855A01019,101391,Miscellaneous,Miscellaneous,2,
213,TechNVision Ventures Ltd.,INE314H01012,101421,IT - Software,IT,2,
214,Chowgule Steamships Ltd.,INE490A01015,101833,Shipping,Logistics,2,
215,Sagar Cements Ltd.,INE229C01021,102090,Cement & Construction Materials,Construction Materials,2,
216,Global Offshore Services Ltd.,INE446C01013,101848,Shipping,Logistics,2,
217,Muller & Phipps (India) Ltd.,INE003F01015,101477,Household & Personal Products,FMCG,2,
218,Amalgamated Electricity Company Ltd.,INE492N01022,101622,Power Generation/Distribution,Power,2,
219,Bombay Burmah Trading Corporation Ltd.,INE050A01025,101425,Agriculture,Agri,2,
220,Coastal Corporation Ltd.,INE377E01016,101831,Consumer Food,FMCG,2,
221,Shaily Engineering Plastics Ltd.,INE151G01010,101423,Plastic Products,Plastic Products,2,
222,Greaves Cotton Ltd.,INE224A01026,101455,Diesel Engines,Automobile & Ancillaries,2,
223,Dhenu Buildcon Infra Ltd.,INE758D01027,101945,Finance - Stock Broking,Finance,2,
224,Orient Paper & Industries Ltd.,INE592A01026,102420,Paper & Paper Products,Paper,2,
225,Citadel Realty & Developers Ltd.,INE906D01014,102445,Construction - Real Estate,Realty,2,
226,Mangalam Cement Ltd.,INE347A01017,102157,Cement & Construction Materials,Construction Materials,2,
227,Deccan Cements Ltd.,INE583C01021,102137,Cement & Construction Materials,Construction Materials,2,
228,Andhra Paper Ltd.,INE435A01028,102330,Paper & Paper Products,Paper,2,
229,Lerthai Finance Ltd.,INE347D01011,102250,Refractories,Capital Goods,2,
230,Saurashtra Cement Ltd.,INE626A01014,102175,Cement & Construction Materials,Construction Materials,2,
231,NCL Industries Ltd.,INE732C01016,102168,Cement & Construction Materials,Construction Materials,2,
232,Raasi Refractories Ltd.,INE858D01017,102271,Refractories,Capital Goods,2,
233,Borosil Renewables Ltd.,INE666D01022,102219,Glass,Construction Materials,2,
234,Seshasayee Paper and Boards Ltd.,INE630A01024,102450,Paper & Paper Products,Paper,2,
235,Nilachal Refractories Ltd.,INE416N01013,102294,Refractories,Capital Goods,2,
236,Nath Industries Ltd.,INE777A01023,102587,Paper & Paper Products,Paper,2,
237,Rollatainers Ltd.,INE927A01040,102448,Engineering - Industrial Equipments,Capital Goods,2,
238,Balkrishna Industries Ltd.,INE787D01026,102355,Tyres & Allied,Automobile & Ancillaries,2,
239,Shree Bhawani Paper Mills Ltd.,INE688C01010,102563,Paper & Paper Products,Paper,2,
240,Vapi Enterprise Ltd.,INE464D01014,102589,Paper & Paper Products,Paper,2,
241,DCM Ltd.,INE498A01018,102820,Textile - Spinning,Textile,2,
242,Simplex Realty Ltd.,INE167H01014,103229,Construction - Real Estate,Realty,2,
243,HP Cotton Textile Mills Ltd.,INE950C01014,102873,Textile,Textile,2,
244,Jamshri Realty Ltd.,INE462D01026,102901,Textile,Textile,2,
245,Katare Spinning Mills Ltd.,INE498G01015,102933,Textile - Spinning,Textile,2,
246,The Ruby Mills Ltd.,INE301D01026,103169,Textile,Textile,2,
247,Vardhman Textiles Ltd.,INE825A01020,102986,Textile,Textile,2,
248,Gaekwar Mills Ltd.,INE837X01027,102850,Textile - Spinning,Textile,2,
249,Reliance Chemotex Industries Ltd.,INE750D01016,103162,Textile - Spinning,Textile,2,
250,Marathon Nextgen Realty Ltd.,INE182D01020,103101,Construction - Real Estate,Realty,2,
251,Kesoram Industries Ltd.,INE087A01019,102937,Cement & Construction Materials,Construction Materials,2,
252,United Interactive Ltd.,INE706D01018,102893,BPO/ITeS,IT,2,
253,Victoria Mills Ltd.,INE203D01016,103349,Construction - Real Estate,Realty,2,
254,The Phoenix Mills Ltd.,INE211B01039,103100,Construction - Real Estate,Realty,2,
255,Raja Bahadur International Ltd.,INE491N01016,103127,Textile - Spinning,Textile,2,
256,Svaraj Trading & Agencies Ltd.,INE406N01014,103624,Finance - Investment,Finance,2,
257,Shree Salasar Investments Ltd.,INE315N01017,103635,Finance - Investment,Finance,2,
258,Zodiac Ventures Ltd.,INE945J01027,103641,Finance - Investment,Finance,2,
259,SRF Ltd.,INE647A01010,103806,Diversified,Diversified,2,
260,Shri Dinesh Mills Ltd.,INE204C01024,103804,Textile,Textile,2,
261,KK Fincorp Ltd.,INE509J01013,103669,Finance - NBFC,Finance,2,
262,Wagend Infra Venture Ltd.,INE786K01023,103675,Finance - Investment,Finance,2,
263,SW Investments Ltd.,INE948K01011,103659,Finance - Investment,Finance,2,
264,GEE Ltd.,INE064H01021,104028,Electrodes & Welding Equipment,Capital Goods,2,
265,Sahara One Media & Entertainment Ltd.,INE479B01016,103691,"Film Production, Distribution & Entertainment",Media & Entertainment,2,
266,Modella Woollens Ltd.,INE380D01012,103772,Trading,Trading,2,
267,Elcid Investments Ltd.,INE927X01018,103681,Finance - Investment,Finance,2,
268,Siyaram Silk Mills Ltd.,INE076B01028,103811,Textile - Weaving,Textile,2,
269,Swadeshi Polytex Ltd.,INE243N01029,103816,Miscellaneous,Miscellaneous,2,
270,Bharat Bijlee Ltd.,INE464A01028,103960,Electric Equipment,Capital Goods,2,
271,Elpro International Ltd.,INE579B01039,104000,Construction - Real Estate,Realty,2,
272,Ahlada Engineers Ltd.,INE00PV01013,290073,Engineering,Capital Goods,2,
273,Zensar Technologies Ltd.,INE520A01027,104067,IT - Software,IT,2,
274,JSL Industries Ltd.,INE581L01018,104080,Electric Equipment,Capital Goods,2,
275,Permanent Magnets Ltd.,INE418E01018,104132,Electric Equipment,Capital Goods,2,
276,Indokem Ltd.,INE716F01012,104092,Chemicals,Chemicals,2,
277,Indo-National Ltd.,INE567A01028,104058,Batteries,Automobile & Ancillaries,2,
278,W.S. Industries (India) Ltd.,INE100D01014,104220,Electric Equipment,Capital Goods,2,
279,Nelco Ltd.,INE045B01015,104112,Engineering - Construction,Infrastructure,2,
280,High Energy Batteries (India) Ltd.,INE783E01023,104176,Batteries,Automobile & Ancillaries,2,
281,Universal Cables Ltd.,INE279A01012,104212,Cable,Electricals,2,
282,Delton Cables Ltd.,INE872E01016,104240,Cable,Electricals,2,
283,Ravindra Energy Ltd.,INE206N01018,104341,Power Generation/Distribution,Power,2,
284,Modulex Construction Technologies Ltd.,INE064R01012,104273,Electric Equipment,Capital Goods,2,
285,Delta Manufacturing Ltd.,INE393A01011,104286,Electric Equipment,Capital Goods,2,
286,Confidence Finance And Trading Ltd.,INE180M01033,104340,Trading,Trading,2,
287,Kaycee Industries Ltd.,INE813G01015,104084,Electric Equipment,Capital Goods,2,
288,Empower India Ltd.,INE507F01023,104351,Trading,Trading,2,
289,Multipurpose Trading & Agencies Ltd.,INE017P01014,104356,Miscellaneous,Miscellaneous,2,
290,Galada Power & Telecommunication Ltd.,INE255C01018,104697,Aluminium & Aluminium Products,Non - Ferrous Metals,2,
291,Flomic Global Logistics Ltd.,INE952M01019,104380,Finance - Investment,Finance,2,
292,Ganesh Holdings Ltd.,INE932M01011,104397,Finance - NBFC,Finance,2,
293,Uni Abex Alloy Products Ltd.,INE361D01012,104605,Castings/Forgings,Automobile & Ancillaries,2,
294,Bombay Wire Ropes Ltd.,INE089T01023,104648,Steel & Iron Products,Iron & Steel,2,
295,SJ Corporation Ltd.,INE312B01027,104398,Diamond  &  Jewellery,Diamond  &  Jewellery,2,
296,Indian Hume Pipe Company Ltd.,INE323C01030,104741,Engineering - Construction,Infrastructure,2,
297,Indian Bright Steel Company Ltd.,INE566M01017,104731,Steel & Iron Products,Iron & Steel,2,
298,Investment & Precision Castings Ltd.,INE155E01016,104786,Castings/Forgings,Automobile & Ancillaries,2,
299,Orient Abrasives Ltd.,INE569C01020,104879,Refractories,Capital Goods,2,
300,National Standard (India) Ltd.,INE166R01015,104882,Metal - Ferrous,Iron & Steel,2,
301,Dynamatic Technologies Ltd.,INE221B01012,105242,Compressors / Pumps,Capital Goods,2,
302,Jainex Aamcol Ltd.,INE280F01019,105212,Engineering - Industrial Equipments,Capital Goods,2,
303,Stovec Industries Ltd.,INE755D01015,104959,Textile - Machinery,Textile,2,
304,Alfred Herbert (India) Ltd.,INE782D01027,105216,Finance - NBFC,Finance,2,
305,KPT Industries Ltd.,INE731D01024,105299,Engineering - Industrial Equipments,Capital Goods,2,
306,Automotive Axles Ltd.,INE449A01011,105010,Auto Ancillary,Automobile & Ancillaries,2,
307,Tinplate Company Of India Ltd.,INE422C01014,104966,Steel & Iron Products,Iron & Steel,2,
308,Eicher Motors Ltd.,INE066A01021,105200,Automobile Two & Three Wheelers,Automobile & Ancillaries,2,
309,Tayo Rolls Ltd.,INE895C01011,104961,Engineering - Industrial Equipments,Capital Goods,2,
310,Setco Automotive Ltd.,INE878E01021,105075,Auto Ancillary,Automobile & Ancillaries,2,
311,India Radiators Ltd.,INE461Y01016,105100,Auto Ancillary,Automobile & Ancillaries,2,
312,Scooters India Ltd.,INE959E01011,105141,Automobile Two & Three Wheelers,Automobile & Ancillaries,2,
313,Talbros Automotive Components Ltd.,INE187D01011,105160,Auto Ancillary,Automobile & Ancillaries,2,
