S. No.,compname,isin,fincode,sub_sector,sector,Week,Symbols
698,Tata Metaliks Ltd.,INE056C01010,113434,Steel/Sponge Iron/Pig Iron,Iron & Steel,4,
699,MMTC Ltd.,INE123F01029,113377,Trading,Trading,4,
700,Vallabh Steels Ltd.,INE457E01016,113397,Steel & Iron Products,Iron & Steel,4,
701,Ashiana Ispat Ltd.,INE587D01012,113401,Steel & Iron Products,Iron & Steel,4,
702,PM Telelinks Ltd.,INE092C01015,113403,Trading,Trading,4,
703,JSW Ispat Special Products Ltd.,INE743C01021,113446,Steel & Iron Products,Iron & Steel,4,
704,Mahalaxmi Seamless Ltd.,INE257F01017,113460,Steel & Iron Products,Iron & Steel,4,
705,Kalyani Forge Ltd.,INE314G01014,113509,Forgings,Automobile & Ancillaries,4,
706,Shah Alloys Ltd.,INE640C01011,113436,Steel & Iron Products,Iron & Steel,4,
707,Mewat Zinc Ltd.,INE235U01012,113496,Trading,Trading,4,
708,SR Industries Ltd.,INE329C01011,113515,Household & Personal Products,FMCG,4,
709,Kanishk Steel Industries Ltd.,INE791E01018,113456,Steel & Iron Products,Iron & Steel,4,
710,Smiths & Founders (India) Ltd.,INE728B01032,113418,Forgings,Automobile & Ancillaries,4,
711,Simplex Castings Ltd.,INE658D01011,113472,Castings/Forgings,Automobile & Ancillaries,4,
712,Shree Steel Wire Ropes Ltd.,INE387D01025,113488,Steel & Iron Products,Iron & Steel,4,
713,Steelcast Ltd.,INE124E01020,113517,Castings/Forgings,Automobile & Ancillaries,4,
714,Southern Magnesium & Chemicals Ltd.,INE308N01012,113498,Metal - Non Ferrous,Non - Ferrous Metals,4,
715,Baroda Extrusion Ltd.,INE927K01023,113502,Metal - Non Ferrous,Non - Ferrous Metals,4,
716,Gujarat Containers Ltd.,INE276I01011,113507,Engineering - Industrial Equipments,Capital Goods,4,
717,Bloom Industries Ltd.,INE373E01015,113422,Metal - Ferrous,Iron & Steel,4,
718,Panchmahal Steel Ltd.,INE798F01010,113511,Steel & Iron Products,Iron & Steel,4,
719,Carborundum Universal Ltd.,INE120A01034,113375,Abrasives,Abrasives,4,
720,Pitti Engineering Ltd.,INE450D01021,113519,Engineering,Capital Goods,4,
721,Pradeep Metals Ltd.,INE770A01010,113532,Engineering - Industrial Equipments,Capital Goods,4,
722,Tamilnadu Steel Tubes Ltd.,INE176E01012,113540,Steel & Iron Products,Iron & Steel,4,
723,Sharda Ispat Ltd.,INE385M01012,113548,Metal - Ferrous,Iron & Steel,4,
724,Mahamaya Steel Industries Ltd.,INE451L01014,113554,Steel & Iron Products,Iron & Steel,4,
725,Nova Iron & Steel Ltd.,INE608C01026,113566,Steel & Iron Products,Iron & Steel,4,
726,Foundry Fuel Products Ltd.,INE617C01027,113579,Industrial  Gases & Fuels,Inds. Gases & Fuels,4,
727,Solid Stone Company Ltd.,INE584G01012,113699,Trading,Trading,4,
728,Axel Polymers Ltd.,INE197C01012,113642,Plastic Products,Plastic Products,4,
729,NLC India Ltd.,INE589A01014,113683,Power Generation/Distribution,Power,4,
730,Spectra Industries Ltd.,INE848B01012,113687,Auto Ancillary,Automobile & Ancillaries,4,
731,JMT Auto Ltd.,INE988E01036,113691,Auto Ancillary,Automobile & Ancillaries,4,
732,KIC Metaliks Ltd.,INE434C01027,113693,Steel/Sponge Iron/Pig Iron,Iron & Steel,4,
733,Shilp Gravures Ltd.,INE960A01017,113709,Engineering - Industrial Equipments,Capital Goods,4,
734,Loyal Textile Mills Ltd.,INE970D01010,114036,Textile,Textile,4,
735,HG Industries Ltd.,INE464C01024,113723,Miscellaneous,Miscellaneous,4,
736,Ceeta Industries Ltd.,INE760J01012,114171,Ceramics/Marble/Granite/Sanitaryware,Construction Materials,4,
737,T.T. Ltd.,INE592B01016,114142,Textile,Textile,4,
738,Deepak Spinners Ltd.,INE272C01013,114030,Textile - Spinning,Textile,4,
739,Konark Synthetic Ltd.,INE517D01019,114128,Textile,Textile,4,
740,Himatsingka Seide Ltd.,INE049A01027,114043,Textile,Textile,4,
741,BSL Ltd.,INE594B01012,114045,Textile - Weaving,Textile,4,
742,PBM Polytex Ltd.,INE501F01018,114087,Textile - Spinning,Textile,4,
743,Adinath Textiles Ltd.,INE207C01019,114113,Textile - Spinning,Textile,4,
744,Black Rose Industries Ltd.,INE761G01016,114183,Trading,Trading,4,
745,Suryalata Spinning Mills Ltd.,INE132C01027,114138,Textile - Spinning,Textile,4,
746,JBF Industries Ltd.,INE187A01017,114034,Textile - Manmade  Fibres,Textile,4,
747,Uniworth Ltd.,INE207A01013,114144,Textile - Spinning,Textile,4,
748,Rishab Special Yarns Ltd.,INE351D01013,114177,Textile - Manmade  Fibres,Textile,4,
749,Himachal Fibres Ltd.,INE723D01021,114010,Textile,Textile,4,
750,Indian Acrylics Ltd.,INE862B01013,114165,Textile - Spinning,Textile,4,
751,Ganesha Ecosphere Ltd.,INE845D01014,114167,Textile - Manmade  Fibres,Textile,4,
752,Welspun India Ltd.,INE192B01031,114162,Textile,Textile,4,
